dataset,fpr,tpr
2021_Team01_hcp,0.0,0.003484320557491289
2021_Team01_hcp,0.0,0.008710801393728223
2021_Team01_hcp,1.21362168984684e-05,0.008710801393728223
2021_Team01_hcp,3.640865069540522e-05,0.013937282229965157
2021_Team01_hcp,3.640865069540522e-05,0.01916376306620209
2021_Team01_hcp,8.495351828927886e-05,0.020905923344947737
2021_Team01_hcp,0.0001213621689846841,0.024390243902439025
2021_Team01_hcp,0.0001456346027816209,0.0313588850174216
2021_Team01_hcp,0.0001456346027816209,0.036585365853658534
2021_Team01_hcp,0.00019417947037549455,0.03832752613240418
2021_Team01_hcp,0.00021845190417243136,0.04006968641114982
2021_Team01_hcp,0.0002912692055632418,0.041811846689895474
2021_Team01_hcp,0.00032767785625864706,0.041811846689895474
2021_Team01_hcp,0.0003762227238525207,0.04529616724738676
2021_Team01_hcp,0.00044904002524333113,0.047038327526132406
2021_Team01_hcp,0.0005461297604310785,0.04878048780487805
2021_Team01_hcp,0.0006310832787203573,0.050522648083623695
2021_Team01_hcp,0.0007767178815019782,0.050522648083623695
2021_Team01_hcp,0.000861671399791257,0.050522648083623695
2021_Team01_hcp,0.0009830335687759412,0.05226480836236934
2021_Team01_hcp,0.0010194422194713464,0.05400696864111498
2021_Team01_hcp,0.0011408043884560304,0.05574912891986063
2021_Team01_hcp,0.0012864389912376514,0.05749128919860627
2021_Team01_hcp,0.0014320735940192722,0.05749128919860627
2021_Team01_hcp,0.001626253064394767,0.05749128919860627
2021_Team01_hcp,0.0017597514502779193,0.06097560975609756
2021_Team01_hcp,0.0019417947037549455,0.0627177700348432
2021_Team01_hcp,0.002196655258622782,0.06445993031358885
2021_Team01_hcp,0.002402970945896745,0.06794425087108014
2021_Team01_hcp,0.002560741765576834,0.07317073170731707
2021_Team01_hcp,0.0028034661035462025,0.07491289198606271
2021_Team01_hcp,0.003021918007718634,0.078397212543554
2021_Team01_hcp,0.003252506128789534,0.08188153310104529
2021_Team01_hcp,0.0034466855991650285,0.09233449477351917
2021_Team01_hcp,0.0036530012864389914,0.09581881533101046
2021_Team01_hcp,0.003956406708900701,0.09581881533101046
2021_Team01_hcp,0.004296220782057817,0.10452961672473868
2021_Team01_hcp,0.004672443505910338,0.11149825783972125
2021_Team01_hcp,0.004963712711473579,0.11846689895470383
2021_Team01_hcp,0.0053520716522245685,0.13240418118466898
2021_Team01_hcp,0.0057040219422801524,0.13763066202090593
2021_Team01_hcp,0.006092380883031142,0.14285714285714285
2021_Team01_hcp,0.006444331173086726,0.14285714285714285
2021_Team01_hcp,0.006832690113837714,0.14634146341463414
2021_Team01_hcp,0.007233185271487172,0.16202090592334495
2021_Team01_hcp,0.007633680429136629,0.17421602787456447
2021_Team01_hcp,0.008179810189567708,0.1759581881533101
2021_Team01_hcp,0.00870166751620185,0.1951219512195122
2021_Team01_hcp,0.009065754023155901,0.20557491289198607
2021_Team01_hcp,0.009526930265297702,0.21602787456445993
2021_Team01_hcp,0.01014587732711959,0.22473867595818817
2021_Team01_hcp,0.01082550547343382,0.23344947735191637
2021_Team01_hcp,0.0116022233549358,0.23519163763066203
2021_Team01_hcp,0.012391077453336246,0.2456445993031359
2021_Team01_hcp,0.013143522901041288,0.25261324041811845
2021_Team01_hcp,0.013944513216340203,0.2682926829268293
2021_Team01_hcp,0.014866865700623802,0.2874564459930314
2021_Team01_hcp,0.01571640088351659,0.3083623693379791
2021_Team01_hcp,0.016820796621277216,0.32926829268292684
2021_Team01_hcp,0.01802228209422559,0.34494773519163763
2021_Team01_hcp,0.01899317944610306,0.35714285714285715
2021_Team01_hcp,0.020085438966965217,0.3641114982578397
2021_Team01_hcp,0.021165562270928907,0.3797909407665505
2021_Team01_hcp,0.02242772882836962,0.39198606271777003
2021_Team01_hcp,0.023714167819607272,0.4094076655052265
2021_Team01_hcp,0.024988470593946457,0.43902439024390244
2021_Team01_hcp,0.026299182018981043,0.4634146341463415
2021_Team01_hcp,0.027804072914391124,0.47735191637630664
2021_Team01_hcp,0.029260418942207336,0.4895470383275261
