Submission Results (TPR, FPR):
vol013_t0.33223304271697995.nii.gz: TPR=0.7038, FPR=0.0798
vol058_t1.4822704982757569.nii.gz: TPR=0.7125, FPR=0.0830
vol090_t2.300074911117554.nii.gz: TPR=0.7300, FPR=0.0869
vol167_t4.267916779518127.nii.gz: TPR=0.7439, FPR=0.0905
vol049_t1.2522630071640013.nii.gz: TPR=0.7578, FPR=0.0942
vol089_t2.2745185232162473.nii.gz: TPR=0.7700, FPR=0.0982
vol010_t0.2555638790130615.nii.gz: TPR=0.7805, FPR=0.1023
vol052_t1.3289321708679198.nii.gz: TPR=0.7857, FPR=0.1063
vol047_t1.201150231361389.nii.gz: TPR=0.7927, FPR=0.1107
vol084_t2.1467365837097168.nii.gz: TPR=0.8066, FPR=0.1158
vol099_t2.530082402229309.nii.gz: TPR=0.8118, FPR=0.1209
vol153_t3.910127348899841.nii.gz: TPR=0.8153, FPR=0.1261
vol190_t4.855713701248169.nii.gz: TPR=0.8223, FPR=0.1320
vol174_t4.44681149482727.nii.gz: TPR=0.8467, FPR=0.1379
vol095_t2.4278568506240843.nii.gz: TPR=0.8624, FPR=0.1442
vol148_t3.78234540939331.nii.gz: TPR=0.8728, FPR=0.1505
vol092_t2.351187686920166.nii.gz: TPR=0.8833, FPR=0.1574
vol136_t3.4756687545776366.nii.gz: TPR=0.8902, FPR=0.1639
vol080_t2.044511032104492.nii.gz: TPR=0.8955, FPR=0.1709
vol028_t0.7155788612365722.nii.gz: TPR=0.9042, FPR=0.1782
vol130_t3.3223304271697995.nii.gz: TPR=0.9094, FPR=0.1858
vol060_t1.533383274078369.nii.gz: TPR=0.9146, FPR=0.1940
vol132_t3.3734432029724117.nii.gz: TPR=0.9233, FPR=0.2028
vol142_t3.6290070819854736.nii.gz: TPR=0.9286, FPR=0.2107
vol102_t2.6067515659332274.nii.gz: TPR=0.9390, FPR=0.2190
vol110_t2.8112026691436767.nii.gz: TPR=0.9425, FPR=0.2277
vol022_t0.5622405338287353.nii.gz: TPR=0.9477, FPR=0.2371
vol149_t3.8079017972946163.nii.gz: TPR=0.9530, FPR=0.2462
vol193_t4.932382864952087.nii.gz: TPR=0.9564, FPR=0.2557
vol003_t0.07666916370391845.nii.gz: TPR=0.9617, FPR=0.2650
vol088_t2.248962135314941.nii.gz: TPR=0.9652, FPR=0.2742
vol173_t4.4212551069259645.nii.gz: TPR=0.9652, FPR=0.2839
vol056_t1.4311577224731444.nii.gz: TPR=0.9669, FPR=0.2933

Area Under Curve (AUC): 0.2222
